03:11:20 INFO  [restartedMain] com.teraenergy.springbootillegalpaking.SpringbootIllegalPakingApplication : Starting SpringbootIllegalPakingApplication using Java 11.0.12 on DESKTOP-MUQ29BN with PID 12896 (C:\Users\user\workspace\003.intellij\springboot-illegalPaking\build\classes\java\main started by user in C:\Users\user\workspace\003.intellij\springboot-illegalPaking)
03:11:21 INFO  [restartedMain] com.teraenergy.springbootillegalpaking.SpringbootIllegalPakingApplication : No active profile set, falling back to 1 default profile: "default"
03:11:21 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
03:11:21 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
03:11:22 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
03:11:22 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
03:11:22 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
03:11:22 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.65]
03:11:22 INFO  [restartedMain] org.apache.jasper.servlet.TldScanner : At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
03:11:22 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
03:11:22 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1489 ms
03:11:22 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
03:11:22 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
03:11:22 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
03:11:22 INFO  [restartedMain] com.teraenergy.springbootillegalpaking.SpringbootIllegalPakingApplication : Started SpringbootIllegalPakingApplication in 2.487 seconds (JVM running for 4.467)
03:11:49 INFO  [http-nio-8080-exec-2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
03:11:49 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
03:11:49 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
03:11:50 WARN  [http-nio-8080-exec-2] org.apache.catalina.util.SessionIdGeneratorBase : Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [478] milliseconds.
